,ticker,quarter,e_consensus,e_mean,w_consensus,actual
300,AAPL,Q3'20,0.53,0.54,0.51,0.65
301,AAPL,Q4'20,0.76,0.76,0.71,0.73
302,AAPL,Q1'21,1.47,1.43,1.42,1.68
303,AAPL,Q2'21,1.07,1.01,0.99,1.40
304,AAPL,Q3'21,1.16,1.08,1.01,1.30
305,AAPL,Q4'21,1.34,1.26,1.24,1.24
306,AAPL,Q1'22,1.96,1.92,1.90,2.10
307,AAPL,Q2'22,1.51,1.49,1.42,1.52
308,AAPL,Q3'22,1.23,1.23,1.16,1.20
309,AAPL,Q4'22,1.30,1.31,1.27,1.29
310,MSFT,Q1'20,1.31,1.29,1.25,1.38
311,MSFT,Q2'20,1.38,1.35,1.32,1.51
312,MSFT,Q3'20,1.34,1.34,1.27,1.40
313,MSFT,Q4'20,1.43,1.43,1.34,1.46
314,MSFT,Q1'21,1.60,1.56,1.54,1.82
315,MSFT,Q2'21,1.75,1.72,1.64,2.03
316,MSFT,Q3'21,1.92,1.86,1.78,1.95
317,MSFT,Q4'21,2.03,1.99,1.92,2.17
318,MSFT,Q1'22,2.21,2.18,2.08,2.27
319,MSFT,Q2'22,2.41,2.39,2.32,2.48
320,MSFT,Q3'22,2.29,2.29,2.19,2.22
321,MSFT,Q4'22,2.34,2.35,2.29,2.23
322,NVDA,Q1'20,0.22,0.26,0.20,0.16
323,NVDA,Q2'20,0.29,0.31,0.29,0.23
324,NVDA,Q3'20,0.39,0.39,0.39,0.36
325,NVDA,Q4'20,0.42,0.43,0.41,0.38
326,NVDA,Q1'21,0.36,0.36,0.35,0.37
327,NVDA,Q2'21,0.29,0.32,0.24,0.25
328,NVDA,Q3'21,0.45,0.44,0.42,0.53
329,NVDA,Q4'21,0.53,0.51,0.49,0.58
330,NVDA,Q1'22,0.67,0.64,0.63,0.76
331,NVDA,Q2'22,0.91,0.87,0.83,0.94
332,NVDA,Q3'22,1.00,0.97,0.90,0.97
333,NVDA,Q4'22,1.08,1.06,1.00,1.18
334,BABA,Q1'20,1.55,1.55,1.50,1.83
335,BABA,Q2'20,1.64,1.61,1.55,1.83
336,BABA,Q3'20,2.31,2.31,2.24,2.61
337,BABA,Q4'20,1.00,1.05,0.85,1.30
338,BABA,Q1'21,2.11,2.06,1.99,2.10
339,BABA,Q2'21,2.28,2.23,2.07,2.71
340,BABA,Q3'21,3.37,3.27,3.20,3.41
341,BABA,Q4'21,2.06,2.09,1.71,1.58
342,BABA,Q1'22,2.36,2.43,2.20,2.57
343,BABA,Q2'22,2.08,2.17,1.85,1.76
344,BABA,Q3'22,2.62,2.72,2.51,2.67
345,BABA,Q4'22,1.22,1.36,1.05,1.25
